src_gene,dst_gene
COMPLEX:P05412_P17535,P05412
COMPLEX:P01100_P17535,P05412
COMPLEX:P17275,P05412
COMPLEX:P05412_P17275,P05412
COMPLEX:P05412_P15407,P05412
COMPLEX:P15407_P17275,P05412
COMPLEX:P17535,P05412
COMPLEX:P05412,P05412
COMPLEX:P15408_P17275,P05412
COMPLEX:P05412_P15408,P05412
COMPLEX:P17275_P53539,P05412
COMPLEX:P15407_P17535,P05412
COMPLEX:P15408_P17535,P05412
COMPLEX:P05412_P53539,P05412
COMPLEX:P17275_P17535,P05412
COMPLEX:P01100_P17275,P05412
COMPLEX:P01100_P05412,P05412
COMPLEX:P17535_P53539,P05412
P84022,P05412
Q13485,P05412
P19544,P51843
COMPLEX:P05412_P15407,P03372
P04637,P06400
P25490,P04150
COMPLEX:P05412_P17535,P03372
COMPLEX:P01100_P17535,P03372
COMPLEX:P17275,P03372
COMPLEX:P05412_P17275,P03372
COMPLEX:P15407_P17275,P03372
COMPLEX:P17535,P03372
COMPLEX:P05412,P03372
COMPLEX:P15408_P17275,P03372
COMPLEX:P05412_P15408,P03372
COMPLEX:P17275_P53539,P03372
COMPLEX:P15407_P17535,P03372
COMPLEX:P15408_P17535,P03372
COMPLEX:P05412_P53539,P03372
COMPLEX:P17275_P17535,P03372
COMPLEX:P01100_P17275,P03372
COMPLEX:P01100_P05412,P03372
COMPLEX:P17535_P53539,P03372
Q14765,P10914
P49116,P24385
Q8N187,Q92793
P42229,P24385
P08651,Q92793
Q06330,P15172
Q06330,Q14469
P15336,P24385
Q92908,P43694
P05412,P24385
P43694,Q92908
P04637,P05412
P05412,P04637
P10275,O43294
P10071,P08151
O43294,P10275
P10826,P13631
P13631,P10826
P20226,P52655
P52655,P20226
Q07869,P20393
Q92731,P10276
P03372,P10276
P10276,P03372
P61371,Q02575
O43829,P01106
P08047,P15172
P15172,P08047
P01100,P04637
P04637,P01100
COMPLEX:Q01201,P24385
COMPLEX:P19838_Q04206,P24385
COMPLEX:Q01201_Q04864,P24385
COMPLEX:Q01201_Q04206,P24385
COMPLEX:P19838_Q01201,P24385
COMPLEX:P19838_Q00653,P24385
COMPLEX:Q04864,P24385
COMPLEX:P19838_Q04864,P24385
COMPLEX:Q00653,P24385
COMPLEX:Q00653_Q04206,P24385
COMPLEX:Q00653_Q01201,P24385
COMPLEX:Q00653_Q04864,P24385
COMPLEX:Q04206,P24385
COMPLEX:P19838,P24385
COMPLEX:Q04206_Q04864,P24385
P78347,P01100
P78347,P51532
P08047,P01100
P25490,P01100
P08047,P18146
P18146,P08047
P10589,P18146
O14981,P20226
P20226,O14981
P01106,P06733
P06733,P01106
P04637,P24385
P17676,P35638
P35638,P17676
P0DPQ6,P17676
P17676,P0DPQ6
P18848,P35638
P35638,P18848
P0DPQ6,P18848
P18848,P0DPQ6
P18847,P18848
P18848,P18847
P18847,P35638
P18847,P0DPQ6
P42224,Q02556
Q02556,P42224
Q01196,P01100
Q9UIS9,P09038
P18146,P19419
P19419,P18146
P28324,P18146
P28069,Q9HCU5
Q9HCU5,P28069
P20226,P06400
Q02548,P06400
P16220,P24385
O15350,P04637
P04637,O15350
Q16254,Q01094
P20226,Q92793
P20393,P37231
P43694,P10275
P11473,P10826
P31273,Q15797
Q13285,Q15637
P52952,P10275
Q9UJU2,P24385
P28069,P01100
P11831,P01100
P41134,P01100
P10914,P14316
P14316,P10914
P04637,Q99732
Q99732,P04637
P04637,P78543
P05412,P15336
P15336,P05412
COMPLEX:Q01201,Q00613
COMPLEX:P19838_Q04206,Q00613
COMPLEX:Q01201_Q04864,Q00613
COMPLEX:Q01201_Q04206,Q00613
COMPLEX:P19838_Q01201,Q00613
COMPLEX:P19838_Q00653,Q00613
COMPLEX:Q04864,Q00613
COMPLEX:P19838_Q04864,Q00613
COMPLEX:Q00653,Q00613
COMPLEX:Q00653_Q04206,Q00613
COMPLEX:Q00653_Q01201,Q00613
COMPLEX:Q00653_Q04864,Q00613
COMPLEX:Q04206,Q00613
COMPLEX:P19838,Q00613
COMPLEX:Q04206_Q04864,Q00613
COMPLEX:P17535,A8MTQ0
P11831,P18146
P18146,P11831
COMPLEX:P05412_P17535,A8MTQ0
COMPLEX:P01100_P17535,A8MTQ0
COMPLEX:P17275,A8MTQ0
COMPLEX:P05412_P17275,A8MTQ0
COMPLEX:P05412_P15407,A8MTQ0
COMPLEX:P15407_P17275,A8MTQ0
COMPLEX:P05412,A8MTQ0
COMPLEX:P15408_P17275,A8MTQ0
COMPLEX:P05412_P15408,A8MTQ0
COMPLEX:P17275_P53539,A8MTQ0
COMPLEX:P15407_P17535,A8MTQ0
COMPLEX:P15408_P17535,A8MTQ0
COMPLEX:P05412_P53539,A8MTQ0
COMPLEX:P17275_P17535,A8MTQ0
COMPLEX:P01100_P17275,A8MTQ0
COMPLEX:P01100_P05412,A8MTQ0
COMPLEX:P17535_P53539,A8MTQ0
COMPLEX:Q01201,A8MTQ0
COMPLEX:P19838_Q04206,A8MTQ0
COMPLEX:Q01201_Q04864,A8MTQ0
COMPLEX:Q01201_Q04206,A8MTQ0
COMPLEX:P19838_Q01201,A8MTQ0
COMPLEX:P19838_Q00653,A8MTQ0
COMPLEX:Q04864,A8MTQ0
COMPLEX:P19838_Q04864,A8MTQ0
COMPLEX:Q00653,A8MTQ0
COMPLEX:Q00653_Q04206,A8MTQ0
COMPLEX:Q00653_Q01201,A8MTQ0
COMPLEX:Q00653_Q04864,A8MTQ0
COMPLEX:Q04206,A8MTQ0
COMPLEX:P19838,A8MTQ0
COMPLEX:Q04206_Q04864,A8MTQ0
P23760,P09038
Q02078,P05412
Q01543,P06400
P20823,P41235
P41235,P20823
P24468,P20823
Q13772,P10275
P10275,Q13772
P04637,Q99608
Q7Z3V5,Q13263
COMPLEX:P05412_P17535,P04637
COMPLEX:P01100_P17535,P04637
COMPLEX:P17275,P04637
COMPLEX:P05412_P17275,P04637
COMPLEX:P05412_P15407,P04637
COMPLEX:P15407_P17275,P04637
COMPLEX:P17535,P04637
COMPLEX:P05412,P04637
COMPLEX:P15408_P17275,P04637
COMPLEX:P05412_P15408,P04637
COMPLEX:P17275_P53539,P04637
COMPLEX:P15407_P17535,P04637
COMPLEX:P15408_P17535,P04637
COMPLEX:P05412_P53539,P04637
COMPLEX:P17275_P17535,P04637
COMPLEX:P01100_P17275,P04637
COMPLEX:P01100_P05412,P04637
COMPLEX:P17535_P53539,P04637
P61244,P04637
P01106,P04637
P04637,P01106
COMPLEX:Q01201,P04637
