src_gene,dst_gene,label
P05412_P17535,A8MTQ0,1
P01100_P17535,A8MTQ0,1
P05412_P17275,A8MTQ0,1
P05412_P15407,A8MTQ0,1
P15407_P17275,A8MTQ0,1
P15408_P17275,A8MTQ0,1
P05412_P15408,A8MTQ0,1
P17275_P53539,A8MTQ0,1
P15407_P17535,A8MTQ0,1
P15408_P17535,A8MTQ0,1
P05412_P53539,A8MTQ0,1
P17275_P17535,A8MTQ0,1
P01100_P17275,A8MTQ0,1
P01100_P05412,A8MTQ0,1
P17535_P53539,A8MTQ0,1
P19838_Q04206,A8MTQ0,1
Q01201_Q04864,A8MTQ0,1
Q01201_Q04206,A8MTQ0,1
P19838_Q01201,A8MTQ0,1
P19838_Q00653,A8MTQ0,1
P19838_Q04864,A8MTQ0,1
Q00653_Q04206,A8MTQ0,1
Q00653_Q01201,A8MTQ0,1
Q00653_Q04864,A8MTQ0,1
Q04206_Q04864,A8MTQ0,1
A6NHT5,A2RU54,1
